"Source","Target","Weight","Type"
753618666,1531697552214605824,1,"directed"
2994916294,1531697527120093184,1,"directed"
1397358089758781440,1531697522007236608,1,"directed"
484237843,1531697514566496256,1,"directed"
532417494,1531697491816632320,1,"directed"
1334326893018030080,1531697472774496256,1,"directed"
3014890972,1531697462662111232,1,"directed"
1334326893018030080,1531697450846765056,1,"directed"
404073535,1531697398099083264,1,"directed"
14872278,1531697396786384896,1,"directed"
902941272465223680,1531697296282423296,1,"directed"
95459812,1.531697235876e+18,1,"directed"
1424841408687460352,1531697228200284160,1,"directed"
30758217,1531697227655090176,1,"directed"
127579755,1531697219757395968,1,"directed"
2330663227,1531697213235150848,1,"directed"
2224496233,1531697208940105728,1,"directed"
2884539849,1531697208558428160,1,"directed"
513326424,1531697208403320832,1,"directed"
1143183447696920576,1531697206591295488,1,"directed"
1319440772123471872,1531697170151264256,1,"directed"
1100083927723720704,1531697151662858240,1,"directed"
4427327421,1531697126324969472,1,"directed"
3149896644,1531697103902281728,1,"directed"
1434501197688233984,1531697098093080576,1,"directed"
1730669436,1531697092644818944,1,"directed"
60581110,1531697080833564672,1,"directed"
1241538981680033792,1531697052572434432,1,"directed"
234414078,1531697051091750912,1,"directed"
1345319606802640896,1531697046255808512,1,"directed"
27524226,1531697034226302976,1,"directed"
81169099,1531697025594626048,1,"directed"
1353804697732263936,1531697022981443584,1,"directed"
33933259,1531697022079709184,1,"directed"
1411153087142809600,1531697020540489728,1,"directed"
19924520,1531697018279809024,1,"directed"
1346176362734899200,1531697012197928960,1,"directed"
911469967,1531696997924732928,1,"directed"
1491418538225324032,1531696997614292992,1,"directed"
918525228602535936,1531696980015165440,1,"directed"
722185265121333248,1531696962935742464,1,"directed"
478186903,1531696947878305792,1,"directed"
546620340,1531696942610362368,1,"directed"
1221476215250464768,1531696931403079680,1,"directed"
1442967018618118144,1531696923836555264,1,"directed"
325784370,1531696864952655872,1,"directed"
1237779498910863360,1531696820992233472,1,"directed"
25469559,1531696789836947456,1,"directed"
831151554413498368,1531696718227439616,1,"directed"
20488455,1531696716457680896,1,"directed"
1309180744229621760,1531696680772435968,1,"directed"
180107694,1531696623352438784,1,"directed"
1087380412089987072,1531696569170419712,1,"directed"
1214157956,1531696402287534080,1,"directed"
18794365,1531696361099251712,1,"directed"
999783970123509760,1531696337934331904,1,"directed"
739835391323295744,1531696324705505280,1,"directed"
916015667425550336,1531696252462694400,1,"directed"
1134554950829248512,1531696237132582912,1,"directed"
130949925,1531696100473700352,1,"directed"
1507757197735907328,1531696071235321856,1,"directed"
3066641321,1531696057473810432,1,"directed"
755707206,1531696030886010880,1,"directed"
2851818279,1531695987839971328,1,"directed"
2738019387,1531695932022169600,1,"directed"
1530988545355436032,1531695895942942720,1,"directed"
2557859383,1531695892302073856,1,"directed"
929038684397228032,1531695883133366272,1,"directed"
2400171,1531695872186236928,1,"directed"
1.43343483401e+18,1531695853223698432,1,"directed"
20179628,1531695768595312640,1,"directed"
12034642,1531695755399991296,1,"directed"
1454320355414183936,1531695742263341056,1,"directed"
1523282271851237376,1531695727017177088,1,"directed"
1205354733361356800,1531695724177592320,1,"directed"
111141045,1531695718141988864,1,"directed"
967850890576179200,1531695606384713728,1,"directed"
1531044664274460672,1531695534393774080,1,"directed"
2358562603,1531695521957662720,1,"directed"
923282909309661184,1531695503540269056,1,"directed"
1224994970735710208,1531695435764666368,1,"directed"
468070233,1531695405645320192,1,"directed"
970975341262069760,1531695382962610176,1,"directed"
846874677846986752,1531695320622579712,1,"directed"
1484938093211750400,1531695302737965056,1,"directed"
69689915,1531695296098484224,1,"directed"
1412953624129335296,1531695268218818560,1,"directed"
216719083,1531695251932561408,1,"directed"
628271302,1531695247759130624,1,"directed"
846874677846986752,1531695247444561920,1,"directed"
32799494,1531695242738421760,1,"directed"
1630704902,1531695237466411008,1,"directed"
524813742,1531695230658945024,1,"directed"
329866683,1531695226963869696,1,"directed"
481516054,1531695211327283200,1,"directed"
1240659514107383808,1531695189936459776,1,"directed"
816681356902146048,1531695137771888640,1,"directed"
4068262452,1531695130058661888,1,"directed"
111872176,1531695113432350720,1,"directed"
1386573211035373568,1531694859756650496,1,"directed"
935881678849011712,1531694843965198336,1,"directed"
1304899477648609280,1531694842954268672,1,"directed"
1468094787874017280,1531694822687485952,1,"directed"
2324752154,1531694820531613696,1,"directed"
899747248367693824,1531694807646711808,1,"directed"
1481757961861144576,1531694777988694016,1,"directed"
1411497198001430528,1531694755477741568,1,"directed"
1193883694743748608,1531694710955290624,1,"directed"
1170043026997161984,1531694677472251904,1,"directed"
72876470,1531694673613533184,1,"directed"
14398885,1531694671960739840,1,"directed"
784024318409867264,1531694653308796928,1,"directed"
334178844,1531694581351256064,1,"directed"
2622332427,1531694579107364864,1,"directed"
1436048145679622144,1531694544655458304,1,"directed"
1056072259058745344,1531694477550682112,1,"directed"
1415694146640220160,1531694477156425728,1,"directed"
953355868623515648,1531694462140928000,1,"directed"
1352002319962021888,1531694452451987456,1,"directed"
1212657637793255424,1531694422353657856,1,"directed"
1382347704806875136,1531694337825947648,1,"directed"
1193883694743748608,1531694322399080448,1,"directed"
1231158539575603200,1531694306779619328,1,"directed"
13285612,1531694297526976512,1,"directed"
625649484,1531694222688112640,1,"directed"
1412316957186142208,1531694220716695552,1,"directed"
1363879479672725504,1531694129155039232,1,"directed"
1150515108,1531694100898099200,1,"directed"
591256990,1531694062729936896,1,"directed"
54266775,1531694023131512832,1,"directed"
7973972,1531694018010431488,1,"directed"
2335424845,1531693994895458304,1,"directed"
20196159,1531693868772732928,1,"directed"
782262956427968512,1531693733141528576,1,"directed"
855560334156996608,1531693680565882880,1,"directed"
716718250164232192,1531693656226156544,1,"directed"
34014678,1531693552270442496,1,"directed"
1318365141273071616,1531693543198179328,1,"directed"
1313921015999848448,1531693530023960576,1,"directed"
1480308103769833472,1531693506401423360,1,"directed"
302881437,1531693444065685504,1,"directed"
1432731443034210304,1531693442857897984,1,"directed"
1336231488367562752,1531693326902210560,1,"directed"
90703007,1531693281700106240,1,"directed"
456081235,1531693247902392320,1,"directed"
445206929,1531693226184396800,1,"directed"
967066752591917056,1531693204445208576,1,"directed"
194164748,1531693200905318400,1,"directed"
1313237257638338560,1531693171746525184,1,"directed"
962641903991906304,1531693127135907840,1,"directed"
18730191,1531693109339381760,1,"directed"
955046676632363008,1531693080419631104,1,"directed"
1481561604927938560,1531693049084092416,1,"directed"
1498811565994299392,1531693048224260096,1,"directed"
1467389701317279744,1531693018981572608,1,"directed"
1228568017929482240,1531693013210222592,1,"directed"
938880341099638784,1531692975910158336,1,"directed"
20451081,1531692966854676480,1,"directed"
1503663459795361792,1531692954502447104,1,"directed"
1513132110978207744,1531692916904808448,1,"directed"
117845252,1531692897627738112,1,"directed"
1430186735330287616,1531692895694110720,1,"directed"
938880341099638784,1531692879478939648,1,"directed"
759199880434819072,1531692832192356352,1,"directed"
1502628197204168704,1531692831596851200,1,"directed"
1397346278925799424,1531692821647859712,1,"directed"
1056293127936528384,1531692776454250496,1,"directed"
1429159066602020864,1531692758762668032,1,"directed"
1093477535374032896,1531692753205219328,1,"directed"
157842322,1531692620312977408,1,"directed"
1146968178096037888,1531692563211898880,1,"directed"
831447082036822016,1531692516688465920,1,"directed"
1482152775119417344,1531692471692201984,1,"directed"
803734337548062720,1531692346873634816,1,"directed"
1062250906597683200,1531692331690524672,1,"directed"
1436936235029696512,1531692287993864192,1,"directed"
708612110817882112,1531692282327482368,1,"directed"
221224276,1531692235602919424,1,"directed"
864792997,1531692164446560256,1,"directed"
2273940734,1531692107282382848,1,"directed"
3186263613,1531692077586726912,1,"directed"
1238109527913967616,1531691949094277120,1,"directed"
1427343937249988608,1531691822145232896,1,"directed"
1531697552214605824,1531697022079709184,1,"directed"
1531697527120093184,1531695113432350720,1,"directed"
1531697522007236608,1531696623352438784,1,"directed"
1531697514566496256,1531696623352438784,1,"directed"
1531697491816632320,1531692831596851200,1,"directed"
1531697472774496256,1531692758762668032,1,"directed"
1531697462662111232,1531693226184396800,1,"directed"
1531697450846765056,1531697170151264256,1,"directed"
1531697398099083264,1531693048224260096,1,"directed"
1531697396786384896,1531697022079709184,1,"directed"
1531697296282423296,1531696569170419712,1,"directed"
1.531697235876e+18,1531697018279809024,1,"directed"
1531697228200284160,1531697020540489728,1,"directed"
1531697227655090176,1531696623352438784,1,"directed"
1531697219757395968,1531696030886010880,1,"directed"
1531697213235150848,1531695768595312640,1,"directed"
1531697208940105728,1531697022079709184,1,"directed"
1531697208558428160,1531694023131512832,1,"directed"
1531697208403320832,1531696623352438784,1,"directed"
1531697206591295488,1531696623352438784,1,"directed"
1531697151662858240,1531697022981443584,1,"directed"
1531697126324969472,1531694673613533184,1,"directed"
1531697103902281728,1531696402287534080,1,"directed"
1531697098093080576,1531694544655458304,1,"directed"
1531697092644818944,1531697051091750912,1,"directed"
1531697080833564672,1531696962935742464,1,"directed"
1531697052572434432,1531696962935742464,1,"directed"
1531697046255808512,1531697022079709184,1,"directed"
1531697034226302976,1531696623352438784,1,"directed"
1531697025594626048,1531696623352438784,1,"directed"
1531697012197928960,1531696820992233472,1,"directed"
1531696997924732928,1531696623352438784,1,"directed"
1531696997614292992,1531692331690524672,1,"directed"
1531696980015165440,1531696623352438784,1,"directed"
1531696947878305792,1531696623352438784,1,"directed"
1531696942610362368,1531692282327482368,1,"directed"
1531696931403079680,1531696623352438784,1,"directed"
1531696923836555264,1531695768595312640,1,"directed"
1531696864952655872,1531693048224260096,1,"directed"
1531696789836947456,1531693552270442496,1,"directed"
1531696718227439616,1531694842954268672,1,"directed"
1531696716457680896,1531696569170419712,1,"directed"
1531696680772435968,1531693247902392320,1,"directed"
1531696361099251712,1531694023131512832,1,"directed"
1531696337934331904,1531696100473700352,1,"directed"
1531696324705505280,1531695503540269056,1,"directed"
1531696252462694400,1531694581351256064,1,"directed"
1531696237132582912,1531696100473700352,1,"directed"
1531696071235321856,1531692282327482368,1,"directed"
1531696057473810432,1531694018010431488,1,"directed"
1531695987839971328,1531694653308796928,1,"directed"
1531695932022169600,1531695768595312640,1,"directed"
1531695895942942720,1531695768595312640,1,"directed"
1531695892302073856,1531695755399991296,1,"directed"
1531695883133366272,1531695230658945024,1,"directed"
1531695872186236928,1531692164446560256,1,"directed"
1531695853223698432,1531695226963869696,1,"directed"
1531695742263341056,1531695130058661888,1,"directed"
1531695727017177088,1531695251932561408,1,"directed"
1531695724177592320,1531692831596851200,1,"directed"
1531695718141988864,1531695503540269056,1,"directed"
1531695606384713728,1531695113432350720,1,"directed"
1531695534393774080,1531695251932561408,1,"directed"
1531695521957662720,1531695211327283200,1,"directed"
1531695435764666368,1531694673613533184,1,"directed"
1531695405645320192,1531695230658945024,1,"directed"
1531695382962610176,1531692832192356352,1,"directed"
1531695320622579712,1531695230658945024,1,"directed"
1531695302737965056,1531694062729936896,1,"directed"
1531695296098484224,1531695251932561408,1,"directed"
1531695268218818560,1531692287993864192,1,"directed"
1531695247759130624,1531694673613533184,1,"directed"
1531695247444561920,1531695226963869696,1,"directed"
1531695242738421760,1531694843965198336,1,"directed"
1531695237466411008,1531693994895458304,1,"directed"
1531695189936459776,1531695130058661888,1,"directed"
1531695137771888640,1531693281700106240,1,"directed"
1531694859756650496,1531692831596851200,1,"directed"
1531694822687485952,1531692282327482368,1,"directed"
1531694820531613696,1531692164446560256,1,"directed"
1531694807646711808,1531693543198179328,1,"directed"
1531694777988694016,1531693200905318400,1,"directed"
1531694755477741568,1531694544655458304,1,"directed"
1531694710955290624,1531694322399080448,1,"directed"
1531694677472251904,1531694129155039232,1,"directed"
1531694671960739840,1531692832192356352,1,"directed"
1531694579107364864,1531694477550682112,1,"directed"
1531694477156425728,1531693200905318400,1,"directed"
1531694462140928000,1531692831596851200,1,"directed"
1531694452451987456,1531692831596851200,1,"directed"
1531694422353657856,1531692282327482368,1,"directed"
1531694337825947648,1531692832192356352,1,"directed"
1531694306779619328,1531692776454250496,1,"directed"
1531694297526976512,1531692164446560256,1,"directed"
1531694222688112640,1531694062729936896,1,"directed"
1531694220716695552,1531692776454250496,1,"directed"
1531694100898099200,1531692282327482368,1,"directed"
1531693868772732928,1531693200905318400,1,"directed"
1531693733141528576,1531693442857897984,1,"directed"
1531693680565882880,1531693247902392320,1,"directed"
1531693656226156544,1531693552270442496,1,"directed"
1531693530023960576,1531691822145232896,1,"directed"
1531693506401423360,1531692516688465920,1,"directed"
1531693444065685504,1531693281700106240,1,"directed"
1531693326902210560,1531692831596851200,1,"directed"
1531693204445208576,1531692831596851200,1,"directed"
1531693171746525184,1531692831596851200,1,"directed"
1531693127135907840,1531692831596851200,1,"directed"
1531693109339381760,1531692107282382848,1,"directed"
1531693080419631104,1531692776454250496,1,"directed"
1531693049084092416,1531692831596851200,1,"directed"
1531693018981572608,1531692831596851200,1,"directed"
1531693013210222592,1531692832192356352,1,"directed"
1531692975910158336,1531692879478939648,1,"directed"
1531692966854676480,1531692620312977408,1,"directed"
1531692954502447104,1531692831596851200,1,"directed"
1531692916904808448,1531692516688465920,1,"directed"
1531692897627738112,1531691949094277120,1,"directed"
1531692895694110720,1531692471692201984,1,"directed"
1531692821647859712,1531692164446560256,1,"directed"
1531692753205219328,1531692516688465920,1,"directed"
1531692563211898880,1531692235602919424,1,"directed"
1531692346873634816,1531692077586726912,1,"directed"
